ORD20250801001,갤럭시 버즈2 프로,1,189000,2025-08-01 09:15:23
ORD20250801002,나이키 에어맥스,1,129000,2025-08-01 09:32:45
ORD20250801003,아이폰 케이스,2,25000,2025-08-01 10:22:11
ORD20250801004,무선 충전기,1,45000,2025-08-01 11:05:33
ORD20250801005,블루투스 스피커,1,85000,2025-08-01 12:18:57
ORD20250801006,맥북 프로 케이스,1,65000,2025-08-01 13:41:22
ORD20250801007,운동화 260mm,1,95000,2025-08-01 14:25:16
ORD20250801008,화장품 세트,3,78000,2025-08-01 15:33:48
ORD20250801009,프로틴 파우더,2,120000,2025-08-01 16:47:29
ORD20250801010,요가매트,1,35000,2025-08-01 17:12:35
ORD20250801011,커피머신,1,450000,2025-08-01 18:55:41
ORD20250801012,원피스 드레스,89000,2025-08-01 19:28:15
ORD20250801013,선글라스,1,125000,2025-08-01 20:14:52
ORD20250801014,백팩 30L,1,78000,2025-08-01 21:06:37
ORD20250801015,게이밍 키보드,1,165000,2025-08-01 21:45:23
ORD20250801016,모니터 27인치,1,320000,2025-08-01 22:18:44
ORD20250801017,스마트워치,1,280000,2025-08-01 23:02:18
ORD20250802018,에어팟 프로,1,329000,2025-08-02 08:25:31
ORD20250802019,운동복 세트,2,145000,2025-08-02 09:14:46
ORD20250802020,책상용 램프,1,55000,2025-08-02 10:33:12
ORD20250802021,마우스패드,1,28000,2025-08-02 11:47:58
ORD20250802022,텀블러,3,45000,2025-08-02 12:55:23
ORD20250802023,향수 100ml,1,185000,2025-08-02 13:28:17
ORD20250802024,캠핑 의자,2,98000,2025-08-02 14:42:35
ORD20250802025,보조배터리,1,65000,2025-08-02 15:19:44
ORD20250802026,블루라이트 안경,1,48000,2025-08-02 16:06:52
ORD20250802027,펜타블렛,1,195000,2025-08-02 17:33:28
ORD20250802028,헤드셋,1,125000,2025-08-02 18:14:16
ORD20250802029,캐리어 24인치,1,145000,2025-08-02 19:27:39
ORD20250802030,홈트레이닝 세트,1,225000,2025-08-02 20:48:51
ORD20250802031,차량용 방향제,2,18000,2025-08-02 21:15:33
ORD20250802032,무드등,1,42000,2025-08-02 22:32:47
ORD20250803033,노트북 스탠드,1,85000,2025-08-03 08:45:12
ORD20250803034,칫솔 전동,1,95000,2025-08-03 09:28:45
ORD20250803035,수영복,1,65000,2025-08-03 10:16:28
ORD20250803036,드라이기,1,155000,2025-08-03 11:42:16
ORD20250803037,공기청정기,1,285000,2025-08-03 12:35:44
ORD20250803038,식물화분 세트,4,68000,2025-08-03 13:21:52
ORD20250803039,요리책,2,35000,2025-08-03 14:08:37
ORD20250803040,와인잔 세트,1,75000,2025-08-03 15:55:29
ORD20250803041,캠핑 텐트,1,185000,2025-08-03 16:32:14
ORD20250803042,골프공 세트,3,85000,2025-08-03 17:49:36
ORD20250803043,스케이트보드,1,125000,2025-08-03 18:26:48
ORD20250803044,캔들 세트,5,65000,2025-08-03 19:13:25
ORD20250803045,화분 받침대,2,28000,2025-08-03 20:07:53
ORD20250803046,USB 허브,1,45000,2025-08-03 21:44:17
ORD20250803047,마사지건,1,195000,2025-08-03 22:18:32
ORD20250804048,스마트밴드,1,85000,2025-08-04 08:33:45
ORD20250804049,화장대 거울,1,125000,2025-08-04 09:17:28
ORD20250804050,전기포트,1,65000,2025-08-04 10:44:52
ORD20250804051,베개 2개입,1,85000,2025-08-04 11:28:16
ORD20250804052,샴푸 세트,3,48000,2025-08-04 12:15:33
ORD20250804053,운동화 끈,4,12000,2025-08-04 13:52:47
ORD20250804054,휴대용 선풍기,1,35000,2025-08-04 14:36:24
ORD20250804055,아이섀도 팔레트,1,45000,2025-08-04 15:23:18
ORD20250804056,등산 스틱,2,95000,2025-08-04 16:48:35
ORD20250804057,차량용 충전기,1,25000,2025-08-04 17:31:42
ORD20250804058,블랙헤드 제거기,1,55000,2025-08-04 18:14:58
ORD20250804059,스트레칭 밴드,3,38000,2025-08-04 19:26:13
ORD20250804060,보드게임,1,48000,2025-08-04 20:13:47
ORD20250804061,마우스,1,85000,2025-08-04 21:35:26
ORD20250804062,침대 시트,2,65000,2025-08-04 22:47:39
ORD20250805063,전자레인지,1,185000,2025-08-05 08:22:15
ORD20250805064,립밤 세트,5,25000,2025-08-05 09:46:33
ORD20250805065,자전거 헬멧,1,75000,2025-08-05 10:35:48
ORD20250805066,물병,2,32000,2025-08-05 11:18:27
